location,lat,lon,name,address,description,furnishing,facing,water,bathroom,security,non-veg,lift,AC,swimming pool,servant room,gas,sewage treatment,visitor parking,gym,club house,children play area,park,house keeping,internet,intercom,fire safety,shopping center,water harvest,power backup,rent,builtup,deposit,bedroom,house type,preferred tenants,availability,parking,age,balcony
Kelambakkam,12.875,80.108,Tvs Emerald Green Acres Kolapakkam - 3 BHK in Kolapakkam for Rent,"Tvs Emerald Green Acres, Suddhananda Bharathi Road, Kolapakkam, Chennai, Tamil Nadu, India.","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well.
it also has a modular kitchen. (RS.2000/- MAINTENANCE TO BE PAID TO OWNER",Semi,NA,Both,3,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,12500/M,1143,90000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,1-3 years,1
Kelambakkam,13.029,80.224,Green town West Saidapet - 3 BHK in West Saidapet for Rent,"Green Town, Near Aranganathan Subway Bus Stop And Dream Flowers Unisex Salon, Reddy Kuppam Road, Panneerselvam Nagar","The house is semi furnished with wardrobes , Cupboards and modular kitchen , Kitchen cabinets , Chimney , geyser, Lights - fans in all the rooms , Gas pipe line . Rain water harvesting , Covered car & bike Parking . It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Both,2,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,27000/M,1200,200000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,5-10 years,1
Kelambakkam,13.066,80.232,Independent House Choolaimedu - 3 BHK in Choolaimedu for Rent,"Independent House, Sowrashtra Nagar, Near Nungambakkam Railway Station","Ideal for vegetarians the house is semi furnished with wardrobes in all the rooms and located near to Nungambakkam Railway station. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,West,Both,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,32000/M,1500,210000,3 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,5-10 years,2
Kelambakkam,12.956,80.19,Bhaggyam Lakeshore Apartment Keelkattalai - 3 BHK in Keelkattalai for Rent,"Bhaggyam Lakeshore Apartment, Veeramani Nagar, Near Jasmin Infotech Pvt Ltd, Dg Square Building",,Semi,West,Corporation,3,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,25000/M,1652,250000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,1
Kelambakkam,13.088,80.201,Sree Guru Enclave Anna Nagar West - 3 BHK in Anna Nagar West for Rent,"Sree Guru Enclave, Café Coffee Day, 5th Main Rd, Anna Nagar West, S Block, Anna Nagar, Chennai","The house is semi furnished with wardrobes,modular kitchen,Kitchen cabinets , Chimney , pooja room, two cars garage, geyser,tube lights, fans and electrical fittings. Covered car & bike parking ",Semi,South,Both,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,28000/M,1550,280000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,3
Kelambakkam,12.958,80.239,Doshi Etopia I Perungudi - 3 BHK in Perungudi for Rent,"Doshi Etopia I, Doshi Etopia I, Panchayat Office Rd, Vijayendra Nagar",Not available,Semi,West,Both,3,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,40000/M,3300,250000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,1-3 years,3
Kelambakkam,13.032,80.129,Alliance Bougainvillea Phase I Iyyapathangal - 3 BHK in Iyyapathangal for Rent,"Alliance Bougainvillea Phase I, Sairam Nagar, Srinivasapuram, Iyyapathangal, Gajalakshmi Nagar, Papanthangal","The house is semi furnished with wardrobes in all the rooms, Modular kitchen, 3 AC's in all the bedrooms, 3 Geyser in the bathrooms, Supermarket is available.
It has easy access to market, schools, hospitals, banks and ATM's as well.
Maintenance charges 5500 extra",Semi,North,Both,4,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,27000/M,2380,250000,3 Bedroom,Independent house,Family, Immediately,Bike and Car,3-5 years,2
Kelambakkam,12.981,80.227,Independent House Velachery - 3 BHK in Velachery for Rent,"Independent House, Seethapathy Nagar Children's Park, Vgp Seetapathi Street, Vgp Seethapathy Nagar, Velachery, Chennai",Not available,Semi,West,Both,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27000/M,1450,160000,3 Bedroom,Independent house,Family, Immediately,Bike and Car,Newly Constructed,0
Kelambakkam,13.023,80.167,Independent House Mugalivakkam - 2 BHK in Mugalivakkam for Rent,"Independent House, Mugalivakkam Main Rd,near Kedar Hospital","Ideal for vegetarian families or working professionals, the house is fully furnished with wardrobes, Modular Kitchen with chimney, geyser and space for pooja.
It has easy access to market, schools, hospitals, banks and ATM's as well",Full,North,Both,3,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,17000/M,1500,60000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,>10 years,0
Kandigai,12.849,80.144,Park Avenue Kandigai - 2 BHK in Kandigai for Rent,"Park Avenue, Kandigai, Chennai, Tamil Nadu, India.","The house is unfurnished with Tube light, Fans and Electrical fittings. It has easy access to market, schools, hospitals, banks and ATM's as well.
Even working professional is also fine",Unfurnished,NA,NA,2,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,9500/M,800,50000,2 Bedroom,Apartment,Family,Immediately,Bike and Car,3-5 years,0
Kandigai,12.849,80.144,Park Avenue Kandigai - 2 BHK in Kandigai for Rent,"Park Avenue, Kandigai, Chennai, Tamil Nadu, India.","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,West,Borewell,2,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,9000/M,920,50000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,3-5 years,1
Kandigai,12.858,80.143,Allegria Apartment Kelambakkam - 3 BHK in Kelambakkam for Rent,"Allegria Apartment, Kelambakkam Road, Kandigai, Kelambakkam, Chennai, Tamil Nadu, India.","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,NA,Both,2,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,10000/M,1360,60000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,1-3 years,2
Kandigai,12.849,80.144,Park Avenue Kandigai - 2 BHK in Kandigai for Rent,"Park Avenue, Kandigai, Chennai, Tamil Nadu, India.","park ,gym facilities are also available ,located in the main of kandigai
The house is Un furnished It has easy access to market, schools, ?hospitals, banks and ATM's as well",Unfurnished,East,Corporation,2,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,10000/M,850,60000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,3-5 years,2
Kandigai,12.853,80.142,Park Avenue Kandigai - 3 BHK in Kandigai for Rent,"Park Avenue, Kandigai, Chennai, Tamil Nadu, India.",Not available,Semi,South,Borewell,3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,12000/M,1200,100000,3 Bedroom,Apartment,Family, Immediately,Car,1-3 years,2
Kandigai,12.853,80.142,Boulevard - Vijayshanthi Kandigai - 3 BHK in Kandigai for Rent,"Boulevard - Vijayshanthi, Kelambakkam - Vandalur Rd, Near Indian Bank And Meenachi Hospital","The house is semi furnished with wardrobes,modular kitchen,?geyser,tube lights, fans and electrical fittings",Semi,NA,Both,2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11500/M,1180,69000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,2
Kandigai,12.858,80.143,Allegria Apartment Kandigai - 3 BHK in Kandigai for Rent,"Allegria Apartment, Vengadamangalam Raod, Opp D S Store","The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Borewell,2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,10000/M,1300,60000,3 Bedroom,Apartment,Family,Immediately,Bike and Car,1-3 years,1
Kandigai,12.856,80.143,Independent House Kandigai - 2 BHK in Kandigai for Rent,"Independent House, Avatar City,near Govt High School","This is a brand new individual house with three individual portions with covered car parking facility. The house is located in Kandigai.The house is unfurnished with lights, fans",Unfurnished,West,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8000/M,1000,40000,2 Bedroom,Independent house,Family, Immediately,Car,Under Construction,1
Kandigai,12.852,80.142,Park Avenue Villa Vandalur - 2 BHK in Vandalur for Rent,"Park Avenue Villa, No.3 Vengadamangalam Road, Melakottaiyur , Kandigai,near Moolacheri Chennai",Not available,Semi,NA,Corporation,2,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,7000/M,921,70000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,Newly Constructed,0
Kandigai,12.858,80.143,Dhanishkha Apartment Kandigai - 3 BHK in Kandigai for Rent,"Dhanishkha Apartment, Near Avatar City,ramesh Kumar And Government School","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Borewell,2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,8500/M,1270,40000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,3-5 years,1
OMR,12.742,80.196,Pushpadruma Thiruporur - 3 BHK in Thiruporur for Rent,"Pushpadruma, 106, Omr Kalavakkam, Thiruporur, Chennai, Tamil Nadu 603110, India","The house is semi furnished with wardrobes,modular kitchen,geyser,tube lights, fans and electrical fittings",Semi,East,NA,2,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,11000/M,1030,66000,3 Bedroom,Apartment,Family,Immediately,Bike,5-10 years,1
OMR,12.729,80.205,Sare Dewy Terraces OMR Chennai Chennai - 3 BHK in Chennai for Rent,"Sare Dewy Terraces Omr Chennai, Thiruporur, Omr, Chennai",Not available,Semi,NA,Borewell,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8000/M,1472,30000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Car,3-5 years,3
OMR,12.729,80.205,Sare Dewy Terraces Omr Chennai Thiruporur - 3 BHK in Thiruporur for Rent,"Sare Dewy Terraces Omr Chennai, Sare Jubilee Shelters Private Limited, Crescent Parc Dewy Terraces, Project Office, Sowbhagya Vijayam Nagar, Thiruporur, Thiruporur Village, Chengalpet Taluk, Kancheepuram District, Chennai, Tamil Nadu 603110, India","The house is semi furnished with wardrobes, study table, kitchen cabinets. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,North-East,Borewell,3,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,12000/M,1261,36000,3 Bedroom,Apartment,Family, Immediately,Car,3-5 years,2
OMR,12.729,80.205,Sare Dewy Terraces Omr Chennai Kancheepuram District - 2 BHK in Kancheepuram District for Rent,"Sare Dewy Terraces Omr Chennai, Sare Jubilee Shelters Private Limited, Crescent Parc Dewy Terraces, Project Office, Sowbhagya Vijayam Nagar, Thiruporur, Thiruporur Village, Chengalpet Taluk, Kancheepuram District, Chennai, Tamil Nadu 603110, India","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,NA,Both,2,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,8000/M,908,96000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,1-3 years,2
OMR,12.73,80.206,Crescent Parc - Dewy Terraces Thiruporur - 2 BHK in Thiruporur for Rent,"Crescent Parc - Dewy Terraces, Near To Ssn Eng College, Omr Road, Thiruporur, Chennai, Tamil Nadu 603110, India",Not available,Unfurnished,South,Borewell,2,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,7000/M,1012,25000,2 Bedroom,Apartment,Doesn't Matter,Immediately,Bike and Car,Newly Constructed,2
OMR,12.729,80.205,Sare Dewy Terraces Omr Chennai Kancheepuram District - 3 BHK in Kancheepuram District for Rent,"Sare Dewy Terraces Omr Chennai, Sare Jubilee Shelters Private Limited, Crescent Parc Dewy Terraces, Project Office, Sowbhagya Vijayam Nagar, Thiruporur, Thiruporur Village, Chengalpet Taluk, Kancheepuram District, Chennai, Tamil Nadu 603110, India","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well.
Maintenance per month 2500",Semi,NA,Borewell,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6000/M,1275,50000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,2
OMR,12.742,80.196,Marg Pushpadruma Kalavakkam - 3 BHK in Kalavakkam for Rent,"Marg Pushpadruma, Kalavakkam, Omr Road, Chennai-600119, Tamil Nadu, India.","All amenities like swimming pool, gym, super market, atm are operational. The property is located on the main road OMR. This flat is with covered car par",Semi,NA,Both,2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9000/M,1080,40000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,5-10 years,1
OMR,12.729,80.205,Sare Dewy Terraces Omr Kancheepuram District - 3 BHK in Kancheepuram District for Rent,"Sare Dewy Terraces Omr, Sare Jubilee Shelters Private Limited, Crescent Parc Dewy Terraces, Project Office, Sowbhagya Vijayam Nagar, Thiruporur, Thiruporur Village, Chengalpet Taluk, Kancheepuram District, Chennai, Tamil Nadu 603110, India","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,East,Both,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,5000/M,1280,20000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,2
OMR,12.742,80.196,"Mark pushpadruma Kalavakkam, Tamil Nadu, India - 2 BHK in Kalavakkam, Tamil Nadu, India for Rent","Mark Pushpadruma, Near Star Cold Storage And Angalamman Temple","The house is semi furnished with wardrobes. It has easy access to market, schools, ?hospitals, banks and ATM's as well",Semi,NA,NA,2,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,9000/M,920,30000,2 Bedroom,Apartment,Family,Immediately,Bike and Car,3-5 years,2
OMR,12.729,80.205,Sare Dewy Terraces OMR Chennai Thiruporur - 2 BHK in Thiruporur for Rent,"Sare Dewy Terraces Omr Chennai, Thiruporur, Omr, Chennai",Not available,Unfurnished,West,Both,2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,10000/M,907,100000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,1-3 years,1
ECR,12.905,80.248,Independent House Injambakkam - 3 BHK in Injambakkam for Rent,"Independent House, Akkarai, Australia Avenue, Near Iskcon",Not available,Semi,East,Both,3,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,50000/M,3200,500000,3 Bedroom,Independent house,Doesn't Matter, Immediately,Car,Newly Constructed,2
ECR,12.888,80.245,Independent House Panaiyur - 2 BHK in Panaiyur for Rent,"Independent House, School 7 Th Street Near Amma Unavagam",Not available,Unfurnished,NA,Corporation,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6000/M,600,40000,2 Bedroom,Independent house,Doesn't Matter, Immediately,Bike,1-3 years,0
ECR,12.905,80.244,Voora villa 96 Injambakkam - 3 BHK in Injambakkam for Rent,"Voora Villa 96, Bhakti Vedanta Swami Rd, Akkarai, Near Iskcon","The property is near to ISKCON temple in a quiet and serene area.
Maintenance is good and so also the security.
The house is semi furnished with wardrobes pooja room , ac, service area . It has easy access to market, schools, hospitals, banks and ATM's as well.
duplex house ",Semi,East,Both,3,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,60000/M,2200,300000,3 Bedroom,Independent house,Family, Immediately,Car,3-5 years,3
ECR,12.899,80.247,Independent House Injambakkam - 4+ BHK in Injambakkam for Rent,"Independent House, Lily Pond Street, Near Godka Bistro (simran)",It is a exclusive 5 bedroom independent Villa with garden swimming pool full back up generator and fully furnise,Full,North,Borewell,6,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,200000/M,4500,600000,4+ Bedroom,Independent house,Company, Immediately,Car,1-3 years,3
ECR,12.896,80.248,"Qudrent 4 Panaiyur, - 2 BHK in Panaiyur, for Rent","Qudrent 4, Adityaram Nagar, Panaiyur",Not available,Semi,South,Both,3,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,14000/M,1056,56000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,1
ECR,12.887,80.246,Independent House Panaiyur - 1 BHK in Panaiyur for Rent,"Independent House, School Street Near Dr. Mgr Statue","The house is unfurnished.It has easy access to market, schools, hospitals, banks and ATM's as wel",Unfurnished,East,Borewell,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9000/M,600,50000,1 Bedroom,Independent house,Family, Immediately,Bike,Newly Constructed,0
ECR,12.881,80.245,Independent House Panaiyur - 2 BHK in Panaiyur for Rent,"Independent House, 13th Avenue, Sea Shore Town, Near Adityaram Group",Not available,Semi,East,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,16000/M,900,50000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,Newly Constructed,1
ECR,12.885,80.251,Independent House Panaiyur - 4 BHK in Panaiyur for Rent,"Independent House, 4th Avenue, Near Shobha Beach House","The house is fully furnished with wardrobes in all the rooms, modular kitchen, TV, washing machine, microwave and water purifier. It has easy access to market, schools, hospitals, banks and ATM's as well",Full,NA,Both,4,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,350000/M,7600,2100000,4 Bedroom,Independent house,Family, Immediately,Bike and Car,1-3 years,0
ECR,12.882,80.245,Independent House Panaiyur - 3 BHK in Panaiyur for Rent,"Independent House, Ecr 12th Avenue Near Bharat Petroleum, Petrol Pump -sree India Enterpriises","Independent Duplex
The house is Semi furnished with wardrobes, modular kitchen,tube light, geyser, fans and electrical fittings",Unfurnished,North,NA,3,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40000/M,3100,200000,3 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,5-10 years,3
ECR,12.882,80.244,Independent House Panaiyur - 2 BHK in Panaiyur for Rent,"Independent House, 13th Street Adityaram Nagar, Near Adityaram Group And Hp Petrol Pump","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Both,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,16000/M,800,50000,2 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,0
Chetpet,13.075,80.235,GURUSHREE APARTMENTS Chetpet - 3 BHK in Chetpet for Rent,"Gurushree Apartments, Near Maharishi Vidya Mandir Senior Secondary School, Inside Maharishi Gardens, Dr. Gurusamy Swamy Road","3BHK House Semi furnished with wardrobes, Cupboards, Kitchen covered with shelves, Chimney, geyser, open car & bike parking. Lights- Fans in all the rooms. Mosquito net, Pooja Room. Servant quarters",Semi,South,Both,4,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,45000/M,1950,270000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,>10 years,1
Chetpet,13.074,80.233,Undisclosed Chetpet - 2 BHK in Chetpet for Rent,"Undisclosed, Harringstop Road,near Pachaiyappa's College",Not available,Semi,NA,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,25000/M,860,150000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,5-10 years,0
Chetpet,13.07,80.235,Alsa Gardens Chetpet - 4 BHK in Chetpet for Rent,"Alsa Gardens, No. 72, Harrington Road, Chetpet, Chennai, 600031, Tamil Nadu, India",Not available,Full,North,Both,4,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,75000/M,3000,500000,4 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,>10 years,1
Chetpet,13.069,80.236,Golden Homestead Chetpet - 3 BHK in Chetpet for Rent,"Golden Homestead, 7th Avenue, Harrington Road, Chetpet, Chennai, Tamil Nadu, India.",Not available,Semi,North,Corporation,3,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,95000/M,2340,400000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,Newly Constructed,3
Chetpet,13.074,80.239,Not disclosed Chetpet - 3 BHK in Chetpet for Rent,"Not Disclosed, Mcnichols Rd,near Chetpet Railway Station And Oppositeour Lady's School","3bhk Apartment in a friendly neighborhood. Walkable distance to prime schools, PH road, metro station, Suburban Railway station, Eco park
The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,NA,Both,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,35000/M,1330,175000,3 Bedroom,Apartment,Doesn't Matter,Immediately,Car,5-10 years,1
Chetpet,13.07,80.235,Alsa Gardens Chetpet - 2 BHK in Chetpet for Rent,"Alsa Gardens, No. 72, Harrington Road, Chetpet, Chennai, 600031, Tamil Nadu, India","The house is unfurnished.It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,NA,Both,2,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,25000/M,900,75000,2 Bedroom,Apartment,Family,Immediately,Car,>10 years,0
Chetpet,13.075,80.234,Raman Chetpet - 3 BHK in Chetpet for Rent,"Raman, New Avadi Rd Near Pachaiyappas College",Not available,Semi,NA,NA,3,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40000/M,1600,400000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,>10 years,4
Chetpet,13.072,80.248,Madeline court Chetpet - 3 BHK in Chetpet for Rent,"Madeline Court, Spur Tank Road Near Shree Mithai",highly ventilated newely renovated. with lots of greenery around the flat. Near Lady Andal chinmiya school. close to shri mitta,Semi,South,Both,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,45000/M,1500,450000,3 Bedroom,Apartment,Family,Immediately,Bike and Car,>10 years,1
Chetpet,13.071,80.242,Independent House Chetpet - 1 BHK in Chetpet for Rent,"Independent House, Brundavanam 2nd Street, Near G 7 Chetpet Police Station",Near by railway Station with 3 face electricity along with 2 door entranc,Unfurnished,North,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10000/M,600,50000,1 Bedroom,independent house,Doesn't Matter, Immediately,Bike and Car,1-3 years,1
Chetpet,13.068,80.237,Indira Arcade Chetpet - 3 BHK in Chetpet for Rent,"Indira Arcade, Harrington Rd, 7th Ave, Near Lady Andal Venkatasubba Rao Matriculation School","Looking to rent a house for Rs. 50000? This home is perfect for families near premium schools, mall, quiet and posh locality, hospitals and restaurant",Full,East,Both,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,50000/M,2400,240000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,5-10 years,4
Nungambakkam,13.057,80.234,Independent House Nungambakkam - 2 BHK in Nungambakkam for Rent,"Independent House, Em El Em Kalyana Mandapam, Mahalingapuram Main Road, Mahalingapuram, Nungambakkam, Chennai",Not available,Semi,North,Both,2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,27000/M,1150,270000,2 Bedroom,independent house,Family, Immediately,Bike and Car,>10 years,1
Nungambakkam,13.059,80.237,Isha Sahana Nungambakkam - 3 BHK in Nungambakkam for Rent,"Isha Sahana, Kamdar Nagar 2nd Street, Near Loyola Institute Of Business Administration",Not available,Semi,North,Both,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,50000/M,2050,300000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,6
Nungambakkam,13.06,80.239,Independent House Nungambakkam - 2 BHK in Nungambakkam for Rent,"Independent House, Shenoy Road,near, Srishti Montessori School",Large two bedroom apartment type individual house - Independent i floor with large balcony and sit out with open car park in front of the house. Copious bore and metro water. Easy reach to all shops and market area and temples,Semi,East,Both,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,16000/M,1100,100000,2 Bedroom,independent house,Family,Immediately,Bike and Car,5-10 years,1
Nungambakkam,13.06,80.239,Ranga flats Nungambakkam - 1 RK in Nungambakkam for Rent,"Ranga Flats, Deivanayagam Street, Near Sri Mutthu Maari Amman Temple,pushpa Nagar And Police Station","1RK in nungampakkam with fully furnished
The house is fully furnished with wardrobes, Bed, tv, microwave and water purifier,a/c ,tube light, geyser, fans and electrical fittings",Full,East,Both,1,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,8000/M,250,50000,1 Bedroom,Apartment,Bachelor's, Immediately,Bike,5-10 years,1
Nungambakkam,13.06,80.243,Independent House Nungambakkam - 3 BHK in Nungambakkam for Rent,"Independent House, Valluvar Kottam High Rd Ponnangipuram Near F3 Police Station Nungambakkam",Not available,Semi,NA,Both,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15000/M,1200,35000,3 Bedroom,independent house,Bachelor's, Immediately,Bike,Newly Constructed,0
Nungambakkam,13.063,80.243,Prithvi apartment Nungambakkam - 2 BHK in Nungambakkam for Rent,"Prithvi Apartment, No. 65, 1st Floor, Valluvar Kottam High Rd, Seetha Nagar Near Hotel Guru Chettinad Restaurant",Not available,Full,North,Both,2,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,35000/M,1050,280000,2 Bedroom,Apartment,Company,Immediately,Bike and Car,>10 years,1
