location,lat,lon,name,address,description,furnishing,facing,water,bathroom,security,non-veg,lift,AC,swimming pool,servant room,gas,sewage treatment,visitor parking,gym,club house,children play area,park,house keeping,internet,intercom,fire safety,shopping center,water harvest,power backup,rent,builtup,deposit,bedroom,house type,preferred tenants,availability,parking,age,balcony
Porur,13.045,80.155,Independent House Porur - 2 BHK in Porur for Rent,"Independent House, 4th Main Road, Porur Garden Phase 2 , Near Porur Toll Booth And City Union Bank Vanagaram","The house is un furnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,East,Corporation,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,8500/M,770,85000,2 Bedroom,independent house,Family, Immediately,Bike and Car,1-3 years,0
GST,12.839,80.058,Aparjitha apartments Guduvanchery - 2 BHK in Guduvanchery for Rent,"Aparjitha Apartments, Dharmaraja Street, Srinivasapuram Near Government Ration Store","Apartment located 300 meters away from GST Road.Close to Bus stop and 1.2kms away from Guduvanchery railway station.
The house is semi furnishe",Semi,East,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7000/M,575,35000,2 Bedroom,Apartment,Family, Immediately,Bike,3-5 years,1
GST,12.852,80.079,undisclosed Vandalur - 2 BHK in Vandalur for Rent,"Undisclosed, Urapakkam,karanai Puducherry,near Perfetti Van Melle","The house is semi furnished with wardrobes,modular kitchen,?geyser,tube lights, fans and electrical fittings",Semi,NA,NA,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,12000/M,1050,65000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,Newly Constructed,0
GST,12.863,80.07,Marutham Classic Urapakkam - 2 BHK in Urapakkam for Rent,"Marutham Classic, Priya Jagadish Nagar, 3rd Street, Urapakkam, Chennai, Tamil Nadu, India.","The house is semi furnished with Wardrobes and Basic electric fittings.It has easy access to market, schools, hospitals, banks and ATM's as well.Maintenance charges are separate",Semi,East,Borewell,2,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,9500/M,924,40000,2 Bedroom,Apartment,Family,Immediately,Bike,1-3 years,0
GST,12.848,80.068,standalone Building Guduvancherry - 2 BHK in Guduvancherry for Rent,"Standalone Building, Nandhivaram Main Rd, Near Bharathiyar Park","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well.
1 more unit with same rent",Unfurnished,NA,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6000/M,680,20000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,Newly Constructed,0
GST,12.851,80.068,Independent House Guduvanchery - 1 BHK in Guduvanchery for Rent,"Independent House, Sri Ganesh Nagar .siva Avenue Near Npr Thirumana Mandapam","The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,East,Borewell,1,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,5000/M,1500,25000,1 Bedroom,Independent house,Family, Immediately,Bike and Car,>10 years,0
GST,12.862,80.073,standalone building Urapakkam - 2 BHK in Urapakkam for Rent,"Standalone Building, Nh Service Road,near Dharani Medical","Newly constructed flat
The house is unfurnished",Unfurnished,NA,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6500/M,720,50000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,3-5 years,0
GST,12.852,80.047,Daffodils Apartment Madambakkam - 2 BHK in Madambakkam for Rent,"Daffodils Apartment, 2nd Cross Street Near Government School,madambakkam","The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,NA,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7000/M,900,42000,2 Bedroom,Apartment,Family, Immediately,Bike,5-10 years,2
GST,12.834,80.056,"Independent House Guduvanchery, Tamil Nadu, India - 2 BHK in Guduvanchery, Tamil Nadu, India for Rent","Independent House, No 87 Malligaist Rajeshwari Nagar Vallanchery Guduvanchery Cpttk Kpmdt 603202",Not available,Semi,South,Both,2,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,9000/M,1000,50000,2 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,Under Construction,1
GST,12.855,80.06,Not Disclosed Guduvanchery - 3 BHK in Guduvanchery for Rent,"Not Disclosed, Perumal Kovil Street Near Perumal Kovil","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well.
Maintenance will be Discussed by Property Owner",Unfurnished,NA,Borewell,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,10000/M,1150,50000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,2
GST,12.844,80.061,Srinivas SKS Guduvanchery - 1 BHK in Guduvanchery for Rent,"Srinivas Sks, Kuberan Nagar,near Parasakthi Marriage Hal","10 metres away from GST Road and 25 metres away from Bus Terminus
Good ventilation. Everything available nearb",Semi,North,Borewell,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5500/M,600,25000,1 Bedroom,Apartment,Bachelor's, Immediately,Bike,5-10 years,1
Velachery,12.968,80.22,Dhanush Home Velachery - 2 BHK in Velachery for Rent,"Dhanush Home, Bhuvaneshwari Nagar, Near Velachery Mrts And Chennai Higher Secondary School","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Corporation,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15000/M,1100,60000,2 Bedroom,Apartment,Family,Immediately,Bike and Car,5-10 years,0
